file,predicted_mu_b
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0023.cif,2.197081332391453
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0024.cif,2.5191011376346717
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0025.cif,2.2442018236138277
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0026.cif,2.142767520564714
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0027.cif,2.3729875395828866
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0028.cif,2.458744470710992
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0029.cif,2.531497382527416
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0030.cif,2.3775409060799464
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0031.cif,2.3137443097219403
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0032.cif,2.0104533598143703
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0033.cif,2.210545871965789
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0034.cif,2.3534168716864023
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0035.cif,2.2498494009428236
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0036.cif,2.4181160939221313
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0037.cif,2.3796372310205585
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0038.cif,2.5548121907385455
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0039.cif,2.650736298577523
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0040.cif,2.3940498159554093
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0041.cif,2.36940148292908
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0042.cif,2.3098149241388892
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0043.cif,1.011916903514538
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0044.cif,2.4762842628854087
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0045.cif,2.1169680184719097
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0046.cif,1.2432350031684198
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0047.cif,2.041264525086662
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0048.cif,2.4629815771707135
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0049.cif,2.8159238028681908
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0050.cif,2.4137791570598
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0051.cif,2.3945326655621204
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0052.cif,1.9907440035715873
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0053.cif,2.445589347592322
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0054.cif,2.0953666032704854
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0055.cif,2.5241084857240454
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0056.cif,2.4925223738816
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0057.cif,1.6808784978157123
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0058.cif,2.373445311744671
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0059.cif,2.411544992343389
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0060.cif,2.3306404836315786
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0061.cif,1.4129194851818416
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0062.cif,1.9595615381923768
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0001.cif,2.092851574918442
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0002.cif,2.007235439800649
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0003.cif,2.3355431243746665
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0004.cif,2.2409164022916133
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0005.cif,2.0642206273400423
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0006.cif,2.175545133523917
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0007.cif,2.3797558099009786
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0008.cif,2.0638401345735957
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0009.cif,2.0613603732025667
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0010.cif,2.051483379759927
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0011.cif,2.401736904927504
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0012.cif,2.493035020779117
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0013.cif,2.516530985465683
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0014.cif,2.5116094284169117
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0015.cif,2.4865396451785404
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0016.cif,2.5022555386195626
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM4_0017.cif,2.536115985208682
